81958,147,33,54,-41358
82103,292,12,33,-41330
82231,420,6,33,-41317
82391,580,7,123,-41298
82535,724,31,406,-41224
82695,884,99,551,-40974
82839,1028,132,572,-40676
82983,1172,138,461,-40371
83127,1316,110,199,-40126
83287,1476,46,74,-40009
83415,1604,17,74,-39973
83559,1748,17,98,-39933
83703,1892,24,208,-39876
83862,2051,55,445,-39738
84007,2196,105,465,-39497
84166,2355,112,528,-39215
84295,2484,126,528,-38958
84454,2643,124,287,-38653
84599,2788,69,179,-38496
84757,2946,42,95,-38390
84903,3092,24,74,-38335
85061,3250,18,76,-38291
85207,3396,19,143,-38248
85366,3555,38,447,-38150
85511,3700,107,531,-37906
85671,3860,129,635,-37582
85815,4004,150,634,-37239
85958,4147,150,479,-36903
86102,4291,114,284,-36646
86261,4450,64,29,-36487
86406,4595,5,-11,-36474
86565,4754,0,-114,-36477
86710,4899,-27,-219,-36542
86870,5059,-56,-301,-36681
87014,5203,-72,-322,-36845
87174,5363,-69,113,-37016
87318,5507,27,112,-36956
87478,5667,21,-388,-36908
87622,5811,-93,-449,-37116
87782,5971,-96,74,-37355
87926,6115,16,-146,-37322
88086,6275,-46,-596,-37439
88230,6419,-142,-439,-37757
88390,6579,-92,100,-37988
88534,6723,24,-230,-37940
88694,6883,-70,-885,-38117
88822,7011,-211,-885,-38536
88982,7171,-202,-217,-39034
89126,7315,-52,-25,-39153
89286,7475,0,287,-39152
89430,7619,69,427,-38993
89590,7779,107,567,-38729
89734,7923,136,431,-38427
89894,8083,95,-202,-38192
90053,8242,-56,-537,-38332
90198,8387,-129,-575,-38623
90357,8546,-140,-635,-38970
90502,8691,-151,-328,-39311
90661,8850,-73,-8,-39495
90806,8995,0,74,-39497
90964,9153,17,135,-39452
91110,9299,34,198,-39375
91268,9457,48,108,-39256
91414,9603,26,-132,-39199
91573,9762,-39,-471,-39296
91718,9907,-112,-511,-39551
91878,10067,-125,-720,-39866
92021,10210,-173,-825,-40255
92181,10370,-195,-170,-40731
92325,10514,-42,-2,-40826
92485,10674,2,161,-40820
92629,10818,40,243,-40730
92789,10978,62,408,-40571
92933,11122,99,492,-40349
93093,11282,122,596,-40045
93237,11426,142,595,-39725
93397,11586,137,200,-39382
93556,11745,44,-118,-39274
93701,11890,-29,-222,-39340
93860,12049,-58,-496,-39489
94005,12194,-118,-534,-39757
94149,12338,-128,-575,-40047
94293,12482,-138,-463,-40356
94437,12626,-112,-179,-40601
94597,12786,-39,95,-40701
94756,12945,25,220,-40640
94901,13090,54,261,-40516
95060,13249,65,343,-40355
95205,13394,83,385,-40167
95364,13553,96,532,-39926
95509,13698,126,552,-39637
95668,13857,127,201,-39321
95813,14002,48,9,-39211
95973,14162,-2,-265,-39217
96117,14306,-64,-433,-39365
96277,14466,-105,-533,-39628
96421,14610,-127,-573,-39918
96581,14770,-138,-483,-40261
96725,14914,-116,-113,-40516
96885,15074,-20,246,-40568
97029,15218,61,371,-40432
97189,15378,94,578,-40198
97333,15522,139,617,-39885
97493,15682,147,656,-39514
97636,15825,156,589,-39162
97796,15985,136,-18,-38827
97956,16145,-4,-222,-38839
98100,16289,-55,-391,-38964
98259,16448,-98,-599,-39208
98404,16593,-143,-680,-39535
98563,16752,-162,-611,-39939
98709,16898,-146,-261,-40267
98868,17057,-57,206,-40407
99012,17201,51,352,-40292
99172,17361,89,537,-40071
99316,17505,128,661,-39779
99476,17665,158,610,-39383
99620,17809,145,413,-39056
99780,17969,95,91,-38820
99924,18113,22,-120,-38771
100084,18273,-36,-477,-38861
100228,18417,-115,-559,-39120
100388,18577,-134,-575,-39458
100532,18721,-137,-615,-39767
100692,18881,-150,-762,-40143
100836,19025,-185,-782,-40555
100996,19185,-190,-883,-41030
101155,19344,-205,-349,-41539
101300,19489,-83,-119,-41730
101459,19648,-26,42,-41796
101604,19793,8,102,-41776
101763,19952,25,28,-41715
101908,20097,4,-126,-41705
102067,20256,-38,-490,-41801
102212,20401,-118,-573,-42070
102372,20561,-140,-719,-42420
102516,20705,-173,-845,-42809
102660,20849,-204,-885,-43268
102788,20977,-210,-885,-43692
102916,21105,-211,-885,-44116
103044,21233,-213,-885,-44540
103172,21361,-213,-885,-44964
103300,21489,-211,-885,-45389
103428,21617,-209,-885,-45813
103555,21744,-211,-885,-46235
103684,21873,-213,-885,-46664
103812,22001,-212,-885,-47085
103940,22129,-211,-885,-47509
104083,22272,-211,-750,-47984
104227,22416,-181,-676,-48391
104387,22576,-164,-726,-48798
104532,22721,-175,-737,-49194
104691,22880,-176,-725,-49637
104835,23024,-172,-715,-50029
104995,23184,-172,-707,-50460
105154,23343,-171,-692,-50883
105299,23488,-166,-678,-51260
105458,23647,-161,-650,-51664
105603,23792,-155,-616,-52017
105762,23951,-147,-560,-52383
105907,24096,-135,-541,-52689
106066,24255,-129,-484,-53009
106211,24400,-116,-421,-53272
106371,24560,-99,-298,-53522
106515,24704,-72,-280,-53685
106675,24864,-66,-219,-53853
106819,25008,-53,-177,-53973
106979,25168,-42,-138,-54081
107123,25312,-34,-96,-54158
107283,25472,-22,9,-54214
107427,25616,0,29,-54214
107587,25776,5,70,-54201
107731,25920,15,113,-54164
107891,26080,29,175,-54090
108035,26224,43,217,-53992
108195,26384,53,258,-53858
108354,26543,63,300,-53698
108499,26688,72,320,-53533
108657,26846,78,361,-53338
108803,26992,87,381,-53138
108961,27150,93,423,-52909
109106,27295,102,444,-52678
109265,27454,108,464,-52410
109411,27600,112,464,-52155
109570,27759,112,506,-51874
109714,27903,120,505,-51601
109874,28063,121,568,-51297
110018,28207,137,611,-50988
110178,28367,149,652,-50619
110322,28511,157,694,-50265
110482,28671,165,715,-49848
110610,28799,169,715,-49503
110770,28959,170,647,-49077
110915,29104,156,603,-48727
111074,29263,144,538,-48371
111218,29407,129,495,-48079
111378,29567,118,453,-47781
111522,29711,108,432,-47535
111682,29871,102,369,-47278
111826,30015,89,327,-47078
111987,30176,78,328,-46880
112130,30319,80,459,-46701
112290,30479,116,696,-46410
112434,30623,167,716,-46034
112594,30783,170,757,-45604
112722,30911,180,757,-45240
112882,31071,180,537,-44794
113026,31215,130,451,-44503
113186,31375,104,153,-44245
113330,31519,38,111,-44159
113490,31679,27,94,-44090
113634,31823,23,73,-44038
113794,31983,15,-72,-43999
113938,32127,-17,-177,-44038
114098,32287,-46,-365,-44155
114242,32431,-88,-406,-44354
114402,32591,-98,-425,-44598
114561,32750,-107,-636,-44864
114705,127,-153,-676,-45211
114833,255,-160,-676,-45535
114993,415,-161,-739,-45943
115137,559,-178,-780,-46344
115281,703,-188,-559,-46763
115425,847,-134,-386,-47064
115585,1007,-93,-387,-47298
115729,1151,-92,-281,-47505
115888,1310,-65,-177,-47671
116032,1454,-43,-157,-47769
116193,1615,-36,12,-47861
116336,1758,0,117,-47859
116496,1918,34,411,-47770
116640,2062,98,452,-47547
116800,2222,109,491,-47273
116944,2366,118,491,-47007
117088,2510,118,467,-46743
117232,2654,112,422,-46490
117392,2814,99,116,-46245
117536,2958,28,-97,-46183
117696,3118,-26,-157,-46246
117855,3277,-31,364,-46321
118000,3422,88,386,-46122
118159,3581,93,446,-45888
118304,3726,105,487,-45646
118463,3885,116,507,-45355
118608,4030,121,506,-45077
118767,4189,123,569,-44772
118912,4334,138,632,-44462
119071,4493,152,608,-44084
119216,4638,144,454,-43757
119376,4798,101,69,-43501
119520,4942,16,-13,-43464
119680,5102,-5,-285,-43480
119824,5246,-69,-346,-43637
119984,5406,-85,-491,-43852
120128,5550,-118,-660,-44121
120288,5710,-163,-825,-44525
120432,5854,-201,-845,-44975
120592,6014,-203,-883,-45488
120751,6173,-210,-863,-46013
120895,6317,-211,-628,-46487
121054,6476,-147,-378,-46851
121199,6621,-91,-317,-47057
121358,6780,-76,-235,-47246
121504,6926,-57,-215,-47376
121662,7084,-52,-175,-47506
121807,7229,-43,-155,-47604
121966,7388,-36,76,-47693
122112,7534,18,116,-47654
122271,7693,32,261,-47573
122415,7837,63,323,-47428
122575,7997,79,406,-47230
122719,8141,98,448,-47008
122879,8301,109,510,-46737
123023,8445,123,552,-46459
123183,8605,133,572,-46127
123327,8749,136,571,-45816
123487,8909,135,524,-45476
123631,9053,124,349,-45195
123791,9213,78,-13,-45001
123950,9372,-5,-308,-45016
124095,9517,-75,-349,-45185
124254,9676,-83,-257,-45393
124399,9821,-61,-16,-45530
124558,9980,2,282,-45525
124703,10125,68,322,-45372
124862,10284,79,406,-45175
125007,10429,98,426,-44952
125166,10588,103,467,-44694
125311,10733,113,509,-44439
125471,10893,123,507,-44133
125599,11021,122,507,-43889
125757,11179,122,528,-43585
125903,11325,126,505,-43296
126062,11484,121,504,-42994
126207,11629,121,481,-42721
126366,11788,115,437,-42436
126511,11933,105,393,-42198
126671,12093,90,135,-41974
126815,12237,34,137,-41897
126943,12365,34,137,-41827
127071,12493,34,137,-41758
127215,12637,34,137,-41681
127375,12797,34,161,-41594
127519,12941,40,206,-41503
127678,13100,53,357,-41367
127823,13245,85,379,-41172
127966,13388,91,379,-40967
128094,13516,92,379,-40784
128238,13660,92,378,-40576
128382,13804,92,378,-40372
128526,13948,92,378,-40166
128686,14108,92,399,-39935
128814,14236,95,399,-39744
128974,14396,95,420,-39502
129102,14524,100,420,-39298
129261,14683,99,93,-39055
129406,14828,23,-11,-39001
129565,14987,0,-51,-39002
129710,15132,-10,-50,-39027
129869,15291,-11,-49,-39055
130014,15436,-11,-69,-39081
130142,15564,-16,-69,-39113
130286,15708,-16,-90,-39151
130430,15852,-22,-131,-39201
130590,16012,-37,-451,-39297
130734,16156,-108,-533,-39542
130894,16316,-128,-551,-39865
131038,16460,-133,-550,-40163
131198,16620,-123,36,-40464
131357,16779,11,266,-40436
131502,16924,65,287,-40288
131661,17083,71,367,-40112
131806,17228,88,365,-39910
131964,17386,88,386,-39691
132094,17516,92,386,-39503
132238,17660,92,407,-39292
132381,17803,97,406,-39072
132526,17948,98,339,-38851
132685,18107,79,119,-38655
132829,18251,29,-73,-38590
132989,18411,-20,-284,-38641
133134,18556,-69,-366,-38797
133294,18716,-92,-490,-39028
133437,18859,-117,-510,-39293
133582,19004,-122,-509,-39570
133725,19147,-122,-486,-39845
133885,19307,-116,-441,-40136
134029,19451,-107,-222,-40372
134189,19611,-50,96,-40495
134333,19755,24,223,-40442
134493,19915,56,284,-40302
134637,20059,69,325,-40146
134797,20219,79,365,-39946
134956,20378,88,406,-39727
135101,20523,97,426,-39504
135260,20682,101,446,-39249
135389,20811,107,446,-39032
135533,20955,108,379,-38790
135693,21115,87,96,-38574
135852,21274,19,-180,-38526
135997,21419,-44,-241,-38625
136156,21578,-60,-343,-38775
136301,21723,-84,-428,-38966
136460,21882,-105,-553,-39228
136605,22027,-132,-572,-39530
136764,22186,-137,-591,-39871
136909,22331,-142,-611,-40196
137068,22490,-148,-610,-40560
137213,22635,-147,-391,-40890
137373,22795,-89,-113,-41114
137517,22939,-27,13,-41176
137677,23099,1,116,-41170
137821,23243,28,157,-41106
137980,23402,40,282,-41004
138125,23547,69,323,-40848
138285,23707,80,449,-40648
138429,23851,109,470,-40404
138589,24011,115,595,-40115
138733,24155,142,700,-39793
138892,24314,168,760,-39371
139051,24473,181,0,-38929
139180,24602,0,0,-38926
139308,24730,0,0,-38925
139436,24858,0,0,-38925
139564,24986,0,0,-38925
139693,25115,0,0,-38925
139821,25243,0,0,-38925
139948,25370,0,0,-38925
140076,25498,0,0,-38925
140204,25626,0,0,-38925
140332,25754,0,0,-38925
140460,25882,0,0,-38925
140588,26010,0,0,-38925
140716,26138,0,0,-38925
140844,26266,0,0,-38925
140972,26394,0,0,-38925
141100,26522,0,0,-38925
141228,26650,0,0,-38925
141356,26778,0,0,-38925
141484,26906,0,0,-38925
141612,27034,0,0,-38925
141740,27162,0,0,-38925
141868,27290,0,0,-38925